Best Strategy fitness: 4857211
Best Strategy time: 01:20:57.211

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '103.45' Kg, PitStop 'No', Time '01:27.970' ms
Lap 2: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '101.56' Kg, PitStop 'No', Time '01:25.936' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '99.67' Kg, PitStop 'No', Time '01:25.904' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '97.78' Kg, PitStop 'No', Time '01:25.870' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '8.0'% | '8.0'% | '7.0'% | '6.0'%, Fuel '95.9' Kg, PitStop 'No', Time '01:25.850' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '11.0'% | '10.0'% | '8.0'% | '7.0'%, Fuel '94.01' Kg, PitStop 'No', Time '01:25.818' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 6, Wear '13.0'% | '12.0'% | '10.0'% | '8.0'%, Fuel '92.12' Kg, PitStop 'No', Time '01:25.788' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 7, Wear '15.0'% | '13.0'% | '12.0'% | '10.0'%, Fuel '90.23' Kg, PitStop 'No', Time '01:25.758' ms
Lap 9: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '88.34' Kg, PitStop 'Yes', Time '01:57.124' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '86.45' Kg, PitStop 'Yes', Time '01:49.350' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '84.56' Kg, PitStop 'Yes', Time '01:49.236' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '82.68' Kg, PitStop 'No', Time '01:24.232' ms
