Best Strategy fitness: 4933657
Best Strategy time: 01:22:13.657

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '104.21' Kg, PitStop 'No', Time '01:35.053' ms
Lap 2: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '102.32' Kg, PitStop 'No', Time '01:32.962' ms
Lap 3: Rain 0% -> Compound 'Inter', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '100.44' Kg, PitStop 'No', Time '01:32.871' ms
Lap 4: Rain 0% -> Compound 'Inter', TyresAge 3, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '98.55' Kg, PitStop 'No', Time '01:32.792' ms
Lap 5: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '96.66' Kg, PitStop 'Yes', Time '01:50.540' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '94.77' Kg, PitStop 'No', Time '01:25.506' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '92.88' Kg, PitStop 'No', Time '01:25.472' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '90.99' Kg, PitStop 'No', Time '01:25.440' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '8.0'% | '8.0'% | '7.0'% | '6.0'%, Fuel '89.1' Kg, PitStop 'No', Time '01:25.420' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '87.22' Kg, PitStop 'Yes', Time '01:49.374' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '85.33' Kg, PitStop 'No', Time '01:24.368' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '83.44' Kg, PitStop 'No', Time '01:24.364' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '81.55' Kg, PitStop 'No', Time '01:24.374' ms
Lap 14: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '10.0'% | '9.0'% | '8.0'% | '6.0'%, Fuel '79.66' Kg, PitStop 'No', Time '01:24.368' ms
Lap 15: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '12.0'% | '11.0'% | '9.0'% | '8.0'%, Fuel '77.77' Kg, PitStop 'No', Time '01:24.354' ms
Lap 16: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '15.0'% | '13.0'% | '11.0'% | '9.0'%, Fuel '75.88' Kg, PitStop 'No', Time '01:24.352' ms
Lap 17: Rain 0% -> Compound 'Soft', TyresAge 7, Wear '17.0'% | '15.0'% | '13.0'% | '11.0'%, Fuel '74.0' Kg, PitStop 'No', Time '01:24.354' ms
