Best Strategy fitness: 5702258
Best Strategy time: 01:35:02.258

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '120.13' Kg, PitStop 'No', Time '01:24.472' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '118.54' Kg, PitStop 'No', Time '01:22.426' ms
Lap 3: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '116.95' Kg, PitStop 'No', Time '01:22.369' ms
Lap 4: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '115.36' Kg, PitStop 'Yes', Time '01:44.205' ms
Lap 5: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '113.77' Kg, PitStop 'Yes', Time '01:44.115' ms
Lap 6: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '112.18' Kg, PitStop 'No', Time '01:22.069' ms
Lap 7: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '110.59' Kg, PitStop 'No', Time '01:22.012' ms
Lap 8: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '109.0' Kg, PitStop 'No', Time '01:21.965' ms
Lap 9: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '9.0'% | '7.0'% | '7.0'% | '7.0'%, Fuel '107.41' Kg, PitStop 'No', Time '01:21.919' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '11.0'% | '8.0'% | '9.0'% | '8.0'%, Fuel '105.82' Kg, PitStop 'No', Time '01:21.863' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '13.0'% | '10.0'% | '11.0'% | '10.0'%, Fuel '104.23' Kg, PitStop 'No', Time '01:21.817' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 7, Wear '15.0'% | '12.0'% | '13.0'% | '12.0'%, Fuel '102.64' Kg, PitStop 'No', Time '01:21.774' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '101.05' Kg, PitStop 'Yes', Time '01:43.403' ms
Lap 14: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '99.46' Kg, PitStop 'No', Time '01:21.357' ms
