Best Strategy fitness: 5823308
Best Strategy time: 01:37:03.308

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '107.66' Kg, PitStop 'No', Time '01:24.487' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '106.07' Kg, PitStop 'Yes', Time '01:44.033' ms
Lap 3: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '104.48' Kg, PitStop 'No', Time '01:21.987' ms
Lap 4: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '102.89' Kg, PitStop 'No', Time '01:21.930' ms
Lap 5: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '101.3' Kg, PitStop 'No', Time '01:21.883' ms
Lap 6: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '99.71' Kg, PitStop 'Yes', Time '01:43.677' ms
Lap 7: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '98.12' Kg, PitStop 'No', Time '01:21.631' ms
Lap 8: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '96.53' Kg, PitStop 'No', Time '01:21.574' ms
Lap 9: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '94.94' Kg, PitStop 'No', Time '01:21.527' ms
Lap 10: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '93.35' Kg, PitStop 'Yes', Time '01:51.930' ms
Lap 11: Rain 0% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '91.76' Kg, PitStop 'No', Time '01:29.895' ms
Lap 12: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '90.17' Kg, PitStop 'Yes', Time '01:44.665' ms
Lap 13: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '88.58' Kg, PitStop 'No', Time '01:22.600' ms
Lap 14: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '86.99' Kg, PitStop 'No', Time '01:22.534' ms
Lap 15: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '85.4' Kg, PitStop 'No', Time '01:22.471' ms
Lap 16: Rain 0% -> Compound 'Hard', TyresAge 4, Wear '5.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '83.81' Kg, PitStop 'No', Time '01:22.400' ms
Lap 17: Rain 0% -> Compound 'Hard', TyresAge 5, Wear '6.0'% | '5.0'% | '4.0'% | '4.0'%, Fuel '82.22' Kg, PitStop 'No', Time '01:22.335' ms
Lap 18: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '80.63' Kg, PitStop 'Yes', Time '01:42.609' ms
Lap 19: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '79.04' Kg, PitStop 'No', Time '01:20.563' ms
