Best Strategy fitness: 4975737
Best Strategy time: 01:22:55.737

 vs 

Bruteforce fitness: 4472444
Bruteforce time: 01:14:32.444


Lap 1: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '107.09' Kg, PitStop 'No', Time '01:28.080' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '105.2' Kg, PitStop 'Yes', Time '01:50.366' ms
Lap 3: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '103.31' Kg, PitStop 'No', Time '01:25.362' ms
Lap 4: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '101.42' Kg, PitStop 'No', Time '01:25.356' ms
Lap 5: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '99.54' Kg, PitStop 'No', Time '01:25.366' ms
Lap 6: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '10.0'% | '9.0'% | '8.0'% | '6.0'%, Fuel '97.65' Kg, PitStop 'No', Time '01:25.362' ms
Lap 7: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '12.0'% | '11.0'% | '9.0'% | '8.0'%, Fuel '95.76' Kg, PitStop 'No', Time '01:25.346' ms
Lap 8: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '15.0'% | '13.0'% | '11.0'% | '9.0'%, Fuel '93.87' Kg, PitStop 'No', Time '01:25.344' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '91.98' Kg, PitStop 'Yes', Time '01:50.172' ms
Lap 10: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '1.0'%, Fuel '90.09' Kg, PitStop 'No', Time '01:25.140' ms
Lap 11: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '88.2' Kg, PitStop 'Yes', Time '01:51.170' ms
Lap 12: Rain 0% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '86.32' Kg, PitStop 'No', Time '01:26.081' ms
Lap 13: Rain 0% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '84.43' Kg, PitStop 'No', Time '01:26.004' ms
Lap 14: Rain 0% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '82.54' Kg, PitStop 'No', Time '01:25.914' ms
