Local Search Strategy:
Lap 1/66 -> Compound: 'Soft' TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0% RR:0.0%, FuelLoad: 106.17 Kg, PitStop: No, LapTime: 01:24.081 (hh:)mm:ss.ms
Lap 2/66 -> Compound: 'Soft' TyreAge: 1 Laps, TyreWear: FL:2.0% FR:2.0% RL:2.0% RR:2.0%, FuelLoad: 104.58 Kg, PitStop: No, LapTime: 01:22.035 (hh:)mm:ss.ms
Lap 3/66 -> Compound: 'Soft' TyreAge: 2 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0% RR:3.0%, FuelLoad: 102.99 Kg, PitStop: No, LapTime: 01:21.978 (hh:)mm:ss.ms
Lap 4/66 -> Compound: 'Soft' TyreAge: 3 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0% RR:5.0%, FuelLoad: 101.4 Kg, PitStop: No, LapTime: 01:21.931 (hh:)mm:ss.ms
Lap 5/66 -> Compound: 'Soft' TyreAge: 4 Laps, TyreWear: FL:9.0% FR:7.0% RL:7.0% RR:7.0%, FuelLoad: 99.81 Kg, PitStop: No, LapTime: 01:21.885 (hh:)mm:ss.ms
Lap 6/66 -> Compound: 'Soft' TyreAge: 5 Laps, TyreWear: FL:11.0% FR:8.0% RL:9.0% RR:8.0%, FuelLoad: 98.22 Kg, PitStop: No, LapTime: 01:21.829 (hh:)mm:ss.ms
Lap 7/66 -> Compound: 'Soft' TyreAge: 6 Laps, TyreWear: FL:13.0% FR:10.0% RL:11.0% RR:10.0%, FuelLoad: 96.63 Kg, PitStop: No, LapTime: 01:21.783 (hh:)mm:ss.ms
Lap 8/66 -> Compound: 'Soft' TyreAge: 7 Laps, TyreWear: FL:15.0% FR:12.0% RL:13.0% RR:12.0%, FuelLoad: 95.04 Kg, PitStop: No, LapTime: 01:21.739 (hh:)mm:ss.ms
Lap 9/66 -> Compound: 'Soft' TyreAge: 8 Laps, TyreWear: FL:17.0% FR:14.0% RL:15.0% RR:13.0%, FuelLoad: 93.45 Kg, PitStop: No, LapTime: 01:21.688 (hh:)mm:ss.ms
Lap 10/66 -> Compound: 'Soft' TyreAge: 9 Laps, TyreWear: FL:19.0% FR:15.0% RL:17.0% RR:15.0%, FuelLoad: 91.86 Kg, PitStop: No, LapTime: 01:21.640 (hh:)mm:ss.ms
Lap 11/66 -> Compound: 'Soft' TyreAge: 10 Laps, TyreWear: FL:22.0% FR:17.0% RL:19.0% RR:17.0%, FuelLoad: 90.27 Kg, PitStop: No, LapTime: 01:21.602 (hh:)mm:ss.ms
